07:19:26.889 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1369792 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CFDATE02/CFDATE02/target/CFDATE02-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CFDATE02/CFDATE02)
07:19:28.539 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19870330
07:19:28.540 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19861228
07:19:28.540 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19860927
07:19:28.540 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19860627
07:19:28.540 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19860327
07:19:28.540 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19851225
07:19:28.540 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19850924
07:19:28.541 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19850624
07:19:28.541 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19850324
07:19:28.541 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19841222
07:19:28.541 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19840921
07:19:28.541 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19840621
07:19:28.542 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19840321
07:19:28.542 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19831220
07:19:28.542 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19830919
07:19:28.542 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19830619
07:19:28.542 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19830319
07:19:28.542 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19821217
07:19:28.542 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19820916
07:19:28.543 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19820616
07:19:28.543 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19820316
07:19:28.543 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19811214
07:19:28.543 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19810913
07:19:28.543 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19810613
07:19:28.543 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19810313
07:19:28.543 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19801211
07:19:28.544 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19800910
07:19:28.544 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19800610
07:19:28.544 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19800310
07:19:28.544 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19791209
07:19:28.544 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19790908
07:19:28.544 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19790608
07:19:28.545 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19790308
07:19:28.545 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19781206
07:19:28.545 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19780905
07:19:28.545 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19780605
07:19:28.545 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19780305
07:19:28.545 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19771203
07:19:28.545 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19770902
07:19:28.546 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19770602
07:19:28.546 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19770302
07:19:28.546 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19761130
07:19:28.546 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19760830
07:19:28.546 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19760530
07:19:28.546 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19760228
07:19:28.547 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19751128
07:19:28.547 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19750828
07:19:28.547 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19750528
07:19:28.547 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19750225
07:19:28.547 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19741125
07:19:28.547 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19740825
07:19:28.547 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19740525
07:19:28.548 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19740222
07:19:28.548 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19731122
07:19:28.548 [main] INFO  com.cloudframe.app.process.Cfdate02.process 99 - 19730822
